regionRes,provRes,cityMunRes,regionResGeo,psgc
Region V: Bicol Region,CAMARINES NORTE,CAPALONGA,Region V,PH051602000
Region V: Bicol Region,SORSOGON,BARCELONA,Region V,PH056202000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,SERGIO OSMEÑA SR.,Region IX,PH097214000
BARMM,MAGUINDANAO,AMPATUAN,Bangsamoro Autonomous Region in Muslim Mindanao,PH153801000
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,TALUSAN,Region IX,PH098314000
CARAGA,SURIGAO DEL NORTE,BACUAG,Region XIII,PH166702000
Region IV-B: MIMAROPA,PALAWAN,CAGAYANCILLO,Region IV-B,PH175308000
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,COLUMBIO,Region XII,PH126502000
BARMM,MAGUINDANAO,DATU UNSAY,Bangsamoro Autonomous Region in Muslim Mindanao,PH153827000
Region VIII: Eastern Visayas,EASTERN SAMAR,JIPAPAD,Region VIII,PH082611000
CARAGA,DINAGAT ISLANDS,TUBAJON,Region XIII,PH168507000
Region I: Ilocos Region,ILOCOS SUR,NAGBUKEL,Region I,PH012913000
Region II: Cagayan Valley,BATANES,UYUGAN,Region II,PH020906000
Region V: Bicol Region,ALBAY,JOVELLAR,Region V,PH050505000
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),JIABONG,Region VIII,PH086009000
Region X: Northern Mindanao,LANAO DEL NORTE,PANTAO RAGAT,Region X,PH103516000
BARMM,LANAO DEL SUR,PICONG (SULTAN GUMANDER),Bangsamoro Autonomous Region in Muslim Mindanao,PH153635000
BARMM,TAWI-TAWI,SIMUNUL,Bangsamoro Autonomous Region in Muslim Mindanao,PH157004000
CARAGA,SURIGAO DEL NORTE,SAN FRANCISCO (ANAO-AON),Region XIII,PH166719000
Region V: Bicol Region,CAMARINES NORTE,SAN VICENTE,Region V,PH051609000
Region VIII: Eastern Visayas,NORTHERN SAMAR,CATUBIG,Region VIII,PH084806000
Region IV-B: MIMAROPA,PALAWAN,DUMARAN,Region IV-B,PH175311000
CAR,ABRA,BUCLOC,Cordillera Administrative Region,PH140104000
Region VIII: Eastern Visayas,NORTHERN SAMAR,ROSARIO,Region VIII,PH084816000
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,PAYAO,Region IX,PH098311000
Region IV-A: CALABARZON,QUEZON,GENERAL LUNA,Region IV-A,PH045616000
Region X: Northern Mindanao,LANAO DEL NORTE,MAGSAYSAY,Region X,PH103511000
Region X: Northern Mindanao,MISAMIS ORIENTAL,BALINGOAN,Region X,PH104303000
BARMM,LANAO DEL SUR,PIAGAPO,Bangsamoro Autonomous Region in Muslim Mindanao,PH153621000
BARMM,MAGUINDANAO,DATU SAUDI-AMPATUAN,Bangsamoro Autonomous Region in Muslim Mindanao,PH153826000
Region VIII: Eastern Visayas,EASTERN SAMAR,SAN JULIAN,Region VIII,PH082620000
CAR,ABRA,BOLINEY,Cordillera Administrative Region,PH140102000
BARMM,LANAO DEL SUR,LUMBA-BAYABAO (MAGUING),Bangsamoro Autonomous Region in Muslim Mindanao,PH153611000
BARMM,LANAO DEL SUR,LUMBACA-UNAYAN,Bangsamoro Autonomous Region in Muslim Mindanao,PH153641000
Region X: Northern Mindanao,LANAO DEL NORTE,MATUNGAO,Region X,PH103513000
Region IV-B: MIMAROPA,PALAWAN,AGUTAYA,Region IV-B,PH175302000
CAR,ABRA,VILLAVICIOSA,Cordillera Administrative Region,PH140127000
BARMM,MAGUINDANAO,MAMASAPANO,Bangsamoro Autonomous Region in Muslim Mindanao,PH153820000
Region VI: Western Visayas,ANTIQUE,SEBASTE,Region VI,PH060615000
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,CONCEPCION,Region X,PH104206000
BARMM,LANAO DEL SUR,TARAKA,Bangsamoro Autonomous Region in Muslim Mindanao,PH153627000
BARMM,LANAO DEL SUR,CALANOGAS,Bangsamoro Autonomous Region in Muslim Mindanao,PH153632000
Region V: Bicol Region,MASBATE,PALANAS,Region V,PH054115000
CAR,ABRA,SAN JUAN,Cordillera Administrative Region,PH140122000
BARMM,SULU,SIASI,Bangsamoro Autonomous Region in Muslim Mindanao,PH156612000
CAR,ABRA,PILAR,Cordillera Administrative Region,PH140119000
CAR,ABRA,SAN ISIDRO,Cordillera Administrative Region,PH140121000
BARMM,TAWI-TAWI,SITANGKAI,Bangsamoro Autonomous Region in Muslim Mindanao,PH157005000
Region III: Central Luzon,TARLAC,SAN JOSE,Region III,PH036918000
Region X: Northern Mindanao,LANAO DEL NORTE,POONA PIAGAPO,Region X,PH103517000
BARMM,TAWI-TAWI,TANDUBAS,Bangsamoro Autonomous Region in Muslim Mindanao,PH157007000
Region II: Cagayan Valley,BATANES,BASCO (CAPITAL),Region II,PH020901000
BARMM,LANAO DEL SUR,MULONDO,Bangsamoro Autonomous Region in Muslim Mindanao,PH153619000
BARMM,MAGUINDANAO,GUINDULUNGAN,Bangsamoro Autonomous Region in Muslim Mindanao,PH153825000
BARMM,MAGUINDANAO,SULTAN SA BARONGIS (LAMBAYONG),Bangsamoro Autonomous Region in Muslim Mindanao,PH153813000
BARMM,SULU,TONGKIL,Bangsamoro Autonomous Region in Muslim Mindanao,PH156615000
CARAGA,SURIGAO DEL NORTE,BURGOS,Region XIII,PH166704000
CAR,ABRA,PEÑARRUBIA,Cordillera Administrative Region,PH140117000
BARMM,TAWI-TAWI,SOUTH UBIAN,Bangsamoro Autonomous Region in Muslim Mindanao,PH157006000
BARMM,BASILAN,AL-BARKA,Bangsamoro Autonomous Region in Muslim Mindanao,PH150709000
BARMM,MAGUINDANAO,PAGAGAWAN,Bangsamoro Autonomous Region in Muslim Mindanao,PH153822000
BARMM,SULU,MAIMBUNG,Bangsamoro Autonomous Region in Muslim Mindanao,PH156605000
BARMM,MAGUINDANAO,BARIRA,Bangsamoro Autonomous Region in Muslim Mindanao,PH153818000
BARMM,TAWI-TAWI,LANGUYAN,Bangsamoro Autonomous Region in Muslim Mindanao,PH157009000
BARMM,LANAO DEL SUR,LUMBAYANAGUE,Bangsamoro Autonomous Region in Muslim Mindanao,PH153636000
Region IV-B: MIMAROPA,ROMBLON,CORCUERA,Region IV-B,PH175906000
CAR,ABRA,LANGIDEN,Cordillera Administrative Region,PH140112000
BARMM,MAGUINDANAO,DATU SALIBO,Bangsamoro Autonomous Region in Muslim Mindanao,PH153836000
Region IV-A: CALABARZON,QUEZON,JOMALIG,Region IV-A,PH045621000
Region X: Northern Mindanao,LANAO DEL NORTE,TANGCAL,Region X,PH103521000
CARAGA,SURIGAO DEL NORTE,SAN BENITO,Region XIII,PH166718000
CAR,ABRA,TAYUM,Cordillera Administrative Region,PH140124000
Region VIII: Eastern Visayas,NORTHERN SAMAR,SAN VICENTE,Region VIII,PH084821000
BARMM,MAGUINDANAO,MATANOG,Bangsamoro Autonomous Region in Muslim Mindanao,PH153809000
BARMM,MAGUINDANAO,RAJAH BUAYAN,Bangsamoro Autonomous Region in Muslim Mindanao,PH153829000
BARMM,SULU,LUUK,Bangsamoro Autonomous Region in Muslim Mindanao,PH156604000
BARMM,MAGUINDANAO,MANGUDADATU,Bangsamoro Autonomous Region in Muslim Mindanao,PH153832000
BARMM,TAWI-TAWI,SAPA-SAPA,Bangsamoro Autonomous Region in Muslim Mindanao,PH157010000
BARMM,SULU,OMAR,Bangsamoro Autonomous Region in Muslim Mindanao,PH156619000
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),TALALORA,Region VIII,PH086019000
Region X: Northern Mindanao,LANAO DEL NORTE,TAGOLOAN,Region X,PH103520000
BARMM,SULU,LUGUS,Bangsamoro Autonomous Region in Muslim Mindanao,PH156617000
Region III: Central Luzon,NUEVA ECIJA,PALAYAN CITY (CAPITAL),Region III,PH034919000
BARMM,LANAO DEL SUR,KAPATAGAN,Bangsamoro Autonomous Region in Muslim Mindanao,PH153639000
BARMM,LANAO DEL SUR,PUALAS,Bangsamoro Autonomous Region in Muslim Mindanao,PH153623000
Region II: Cagayan Valley,BATANES,MAHATAO,Region II,PH020904000
Region II: Cagayan Valley,BATANES,IVANA,Region II,PH020903000
BARMM,MAGUINDANAO,DATU BLAH T. SINSUAT,Bangsamoro Autonomous Region in Muslim Mindanao,PH153830000
BARMM,TAWI-TAWI,TURTLE ISLANDS,Bangsamoro Autonomous Region in Muslim Mindanao,PH157008000
BARMM,LANAO DEL SUR,TAGOLOAN II,Bangsamoro Autonomous Region in Muslim Mindanao,PH153638000
BARMM,MAGUINDANAO,TALITAY,Bangsamoro Autonomous Region in Muslim Mindanao,PH153821000
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,LOOC,Region IV-B,PH175103000
BARMM,LANAO DEL SUR,SULTAN DUMALONDONG,Bangsamoro Autonomous Region in Muslim Mindanao,PH153640000
Region IV-B: MIMAROPA,ROMBLON,CONCEPCION,Region IV-B,PH175905000
BARMM,BASILAN,HADJI MUHTAMAD,Bangsamoro Autonomous Region in Muslim Mindanao,PH150712000
BARMM,TAWI-TAWI,MAPUN (CAGAYAN DE TAWI-TAWI),Bangsamoro Autonomous Region in Muslim Mindanao,PH157003000
Region X: Northern Mindanao,LANAO DEL NORTE,NUNUNGAN,Region X,PH103515000
Region XI: Davao Region,DAVAO DEL SUR,SANTA MARIA,Region XI,PH112412000
BARMM,SULU,OLD PANAMAO,Bangsamoro Autonomous Region in Muslim Mindanao,PH156607000
BARMM,LANAO DEL SUR,PAGAYAWAN (TATARIKAN),Bangsamoro Autonomous Region in Muslim Mindanao,PH153620000
BARMM,LANAO DEL SUR,BUMBARAN,Bangsamoro Autonomous Region in Muslim Mindanao,PH153628000
BARMM,SULU,PANDAMI,Bangsamoro Autonomous Region in Muslim Mindanao,PH156618000
BARMM,SULU,HADJI PANGLIMA TAHIL (MARUNGGAS),Bangsamoro Autonomous Region in Muslim Mindanao,PH156606000
Region XI: Davao Region,DAVAO DEL SUR,JOSE ABAD SANTOS (TRINIDAD),Region XI,PH112414000
BARMM,SULU,PANGLIMA ESTINO (NEW PANAMAO),Bangsamoro Autonomous Region in Muslim Mindanao,PH156616000
BARMM,SULU,PATA,Bangsamoro Autonomous Region in Muslim Mindanao,PH156610000
